"wd_netc","mae_netc","wd_spd","mae_spd","n_years","n_samples","n_clusters","tau","w_prec"
176.339151677143,93.6869,193.774228437098,97.73206,4999,50,3,3,5
30.9766356924354,41.515428,38.5874542495954,47.427508,499,250,3,3,5
36.8682392959838,76.853108,41.9672697560108,88.525344,1999,250,3,3,5
62.9115099454061,64.175772,66.4092001529522,65.980632,4999,250,3,3,5
14.0224978663289,89.1308848,42.672431906504,110.8479072,499,1250,3,3,5
34.6954698896702,150.267948,105.253285623065,205.8145544,1999,1250,3,3,5
26.784004830599,111.0051896,36.5173642515737,115.5033936,4999,1250,3,3,5
20.1437272710785,52.9173,46.6421472904646,78.12952,499,50,6,3,5
145.231364382901,138.94528,120.273920691965,148.20972,1999,50,6,3,5
218.093603467879,227.91738,237.31841165489,276.95366,4999,50,6,3,5
15.067108982035,55.38584,15.3129872033697,59.0214,499,250,6,3,5
54.505734976388,112.05762,50.3198855091252,118.288204,1999,250,6,3,5
86.4341152729253,59.005948,71.5029392123481,60.584944,4999,250,6,3,5
17.0592214815533,100.561968,32.1012134797144,118.827956,499,1250,6,3,5
31.2277423641736,97.0902416,35.6752288077078,107.6030936,1999,1250,6,3,5
43.0733129050768,62.8096328,43.4368517633994,63.6933832,4999,1250,6,3,5
28.5938932884097,64.27584,15.3755767694769,68.26966,499,50,9,3,5
88.4778399562216,227.5185,53.6653845922643,265.75792,1999,50,9,3,5
101.632509645169,50.0799,113.217770139069,51.43278,4999,50,9,3,5
19.5997858630998,79.964016,48.5517940924618,101.259636,499,250,9,3,5
43.5004726191694,157.765628,44.6207347209506,167.80542,1999,250,9,3,5
94.5086493957993,116.17034,76.5770113738634,125.480776,4999,250,9,3,5
8.63277118912224,77.715524,13.193554367546,85.3096672,499,1250,9,3,5
13.9650451241687,94.1859224,16.3746799858611,98.6615664,1999,1250,9,3,5
28.9166150541554,114.7542632,49.6171557949987,117.8455504,4999,1250,9,3,5
37.4820530119409,60.83426,68.0462753578365,105.73684,499,50,3,0.5,1
52.8381472453703,76.39516,75.8098273326112,85.61422,1999,50,3,0.5,1
94.6754551794609,202.69578,140.451898285332,238.5998,4999,50,3,0.5,1
26.7736348742422,67.130448,33.6803885426558,78.895256,499,250,3,0.5,1
39.4159534851939,109.62468,98.6087573591845,145.495276,1999,250,3,0.5,1
144.007200170382,107.693192,90.5463627262667,112.965736,4999,250,3,0.5,1
31.3548853898289,84.4512968,34.6296874068566,97.6527752,499,1250,3,0.5,1
17.7818322959126,47.8684696,18.2413159653375,50.5661904,1999,1250,3,0.5,1
97.1272870042159,147.4926608,50.879935321269,164.5680936,4999,1250,3,0.5,1
30.174448230118,69.29358,19.6754954468748,72.52584,499,50,6,0.5,1
129.033435809639,139.7794,123.372974571702,136.25592,1999,50,6,0.5,1
259.361201420699,100.05042,229.830186582871,111.77544,4999,50,6,0.5,1
11.8590223383902,40.043784,10.6409657657927,42.228132,499,250,6,0.5,1
78.2688628423604,194.883764,69.0552277283951,220.6634,1999,250,6,0.5,1
69.9957700942477,103.70694,62.1729713333451,116.602856,4999,250,6,0.5,1
37.576253278033,82.9026512,75.5844144510912,135.218156,499,1250,6,0.5,1
53.0569786422487,103.7359488,51.5888778331634,120.836108,1999,1250,6,0.5,1
105.953577518106,56.2179792,38.8609533062538,57.893092,4999,1250,6,0.5,1
32.2880619679025,75.72902,40.6291129869897,111.86306,499,50,9,0.5,1
84.93479408067,96.42594,65.5554725833393,100.10944,1999,50,9,0.5,1
426.09375569782,102.83732,415.208263590436,104.53134,4999,50,9,0.5,1
105.758083514233,177.940056,15.7798998884496,163.396452,499,250,9,0.5,1
55.7933093735411,184.801184,66.8749524929506,199.809128,1999,250,9,0.5,1
186.159469473773,188.5493,159.718703966002,185.278964,4999,250,9,0.5,1
28.9042051664974,129.4186368,33.2798429479171,155.5226704,499,1250,9,0.5,1
19.5844746794251,93.8732536,23.4946639355808,99.668816,1999,1250,9,0.5,1
103.195032701272,223.7419464,60.9732402862704,241.208976,4999,1250,9,0.5,1
18.9188208337248,36.06216,18.4589904314616,38.5673,499,50,3,1,1
50.3015459601868,93.65454,68.2400505863821,105.43542,1999,50,3,1,1
366.774471366472,68.7041,325.292037237659,72.09254,4999,50,3,1,1
21.8294102584756,83.808972,30.1830929001515,94.858728,499,250,3,1,1
20.8416988604031,91.883496,34.3805342469556,98.672128,1999,250,3,1,1
89.9981414504666,56.11196,85.441982393541,56.26502,4999,250,3,1,1
9.79191155037913,45.6238088,17.5908831636062,51.8166808,499,1250,3,1,1
13.3134789205054,62.7025112,23.6448784027844,73.4032512,1999,1250,3,1,1
34.5464165525732,86.3091848,25.2924544478416,91.224748,4999,1250,3,1,1
22.6008788782492,87.9167,19.6962201111559,99.1004,499,50,6,1,1
40.8566303944762,86.86524,37.7402755142803,101.38046,1999,50,6,1,1
146.699067183535,108.1869,132.267862402445,116.51182,4999,50,6,1,1
18.8615147293057,84.285352,17.0949884451809,90.540976,499,250,6,1,1
23.0784601181772,47.794684,22.2055286288042,53.23608,1999,250,6,1,1
25.3529029239918,55.349272,26.8953918140934,55.816788,4999,250,6,1,1
18.2347096938015,90.179608,26.8402708173892,100.4091296,499,1250,6,1,1
37.8707778176471,113.7072408,60.1908828401885,132.9210296,1999,1250,6,1,1
73.4668527717448,183.1670976,63.0338367039683,196.864336,4999,1250,6,1,1
36.3036964982631,145.06518,40.9151649225737,152.34312,499,50,9,1,1
65.5693247680918,54.49312,59.8321769922279,55.79202,1999,50,9,1,1
174.672654143191,60.27366,205.230684679834,61.30066,4999,50,9,1,1
17.4296461067635,59.974844,15.1715829159113,63.966168,499,250,9,1,1
47.3688734955648,111.960396,34.0380778917454,123.787944,1999,250,9,1,1
130.996310533961,151.551056,69.3947805548428,156.261472,4999,250,9,1,1
12.4742037748872,91.7260024,15.209099286727,100.28382,499,1250,9,1,1
18.5551639726624,93.5478976,35.766644705718,105.4462768,1999,1250,9,1,1
35.7207435602333,81.7037504,30.2497235554921,83.7192576,4999,1250,9,1,1
46.7467444517125,145.58348,51.9317402470672,143.5509,499,50,3,3,1
80.1810834076129,97.54098,96.7396448861835,119.4982,1999,50,3,3,1
282.694492265173,121.2157,275.491217926205,136.4921,4999,50,3,3,1
19.8002031938448,64.059176,25.0509028399301,70.03474,499,250,3,3,1
117.891883479642,272.787968,131.587457365687,308.795696,1999,250,3,3,1
40.2213630041245,97.231884,53.1933454282575,100.889328,4999,250,3,3,1
20.4820665347881,64.3092656,26.8587084843444,74.2069184,499,1250,3,3,1
30.1081684405884,91.9279864,68.5006753544626,126.5325504,1999,1250,3,3,1
27.4932656429454,189.1953248,111.011267401028,240.2610112,4999,1250,3,3,1
9.99758806395667,48.57868,13.9782604710886,52.92738,499,50,6,3,1
60.5680127541736,126.63444,74.3118902511595,137.643,1999,50,6,3,1
195.718205401269,113.5012,218.873293095513,129.76206,4999,50,6,3,1
23.594619074347,103.76648,36.6550511343489,115.578064,499,250,6,3,1
64.0285360280156,290.696284,140.032238880372,339.816964,1999,250,6,3,1
67.9189977096412,143.330576,65.1209366648086,157.58228,4999,250,6,3,1
6.13324887366052,37.6181472,16.793264031978,44.3639424,499,1250,6,3,1
24.4283680523855,96.4600936,24.0891074761046,102.2314128,1999,1250,6,3,1
38.3617855008169,117.7973768,80.1606789508783,124.4542232,4999,1250,6,3,1
13.0696432453746,34.84852,14.9494891490782,36.03036,499,50,9,3,1
66.7374065672987,66.73062,66.48031705383,67.09632,1999,50,9,3,1
115.865854648112,120.21836,98.4049224131664,125.95138,4999,50,9,3,1
9.29354254757281,39.176884,9.85184684073359,42.072816,499,250,9,3,1
45.0803226053731,87.688276,56.3494874628994,98.055508,1999,250,9,3,1
120.170487334323,160.920804,99.9418072154119,163.8254,4999,250,9,3,1
24.5651126389327,103.8993032,22.3637523511368,123.91396,499,1250,9,3,1
16.9925093860989,69.18866,20.3479268573635,71.9165952,1999,1250,9,3,1
35.9203591786693,89.0038232,47.0672189475847,90.0580928,4999,1250,9,3,1
52.7950008121309,100.47752,35.2925545686697,123.37064,499,50,3,0.5,3
127.513644901882,227.38674,168.902646598,269.28292,1999,50,3,0.5,3
343.909163013633,147.44284,428.126862422725,192.54866,4999,50,3,0.5,3
15.5233815993819,43.383404,27.9707070586365,53.457312,499,250,3,0.5,3
18.9360809631177,50.243928,40.8234751369324,58.24444,1999,250,3,0.5,3
91.9178156996182,57.623228,53.3502427650751,58.846608,4999,250,3,0.5,3
18.9289658618777,86.839168,43.6368901629895,106.6636872,499,1250,3,0.5,3
22.1550480690193,78.6485488,48.2792091268387,92.9042248,1999,1250,3,0.5,3
107.924470066051,162.7826352,102.14579269034,184.2564088,4999,1250,3,0.5,3
44.7135569237513,114.11782,17.9474188461786,126.83408,499,50,6,0.5,3
55.2790865194664,117.16156,75.8731962678203,114.40006,1999,50,6,0.5,3
171.973132404993,68.66068,283.895606767865,73.5421,4999,50,6,0.5,3
9.79887709244984,54.921968,18.8999380089195,61.350156,499,250,6,0.5,3
63.6523067241173,160.132832,43.8384996004675,179.170484,1999,250,6,0.5,3
102.084379573599,175.886348,101.903683080162,184.386088,4999,250,6,0.5,3
29.5000195557808,92.1605528,65.9136951007858,119.364928,499,1250,6,0.5,3
32.4964114403966,118.5414056,41.5338880173488,133.649312,1999,1250,6,0.5,3
85.2351269708971,104.6095408,56.3342492368949,111.4520808,4999,1250,6,0.5,3
30.6518305984162,123.49316,19.1281846109631,131.82614,499,50,9,0.5,3
93.5550542950186,111.56272,67.0497745575223,125.6132,1999,50,9,0.5,3
68.599738766689,171.3214,120.054055666834,179.98714,4999,50,9,0.5,3
10.8045420163452,52.072892,7.13922274459226,54.772532,499,250,9,0.5,3
25.1295966771577,94.070328,15.3654628337347,98.551196,1999,250,9,0.5,3
64.849338218062,105.651144,64.4556993670138,108.503972,4999,250,9,0.5,3
9.77169626195117,63.318684,11.2392174334125,67.867848,499,1250,9,0.5,3
