"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.0272160256092337,97.861146,2499,500,6,5,0.5
0.0339282233344809,167.078634,4999,500,6,5,0.5
0.152387900464879,68.917886,499,1000,6,5,0.5
0.0519279228694004,179.7261,2499,1000,6,5,0.5
0.00803236197225587,91.626781,4999,1000,6,5,0.5
0.372109484039634,141.7791,499,50,9,5,0.5
0.180701200075255,116.89424,2499,50,9,5,0.5
0.182776409216267,144.10394,4999,50,9,5,0.5
0.0484969070400017,56.148704,499,500,9,5,0.5
0.0120559190885068,102.237718,2499,500,9,5,0.5
0.0564952983786651,225.19095,4999,500,9,5,0.5
0.0375001292576112,108.85943,499,1000,9,5,0.5
0.0138851144462937,120.91649,2499,1000,9,5,0.5
0.0117246543997567,82.523177,4999,1000,9,5,0.5
0.369494114206074,76.48198,499,50,3,7,0.5
0.0827533463107851,41.5152,2499,50,3,7,0.5
0.0647283016607549,91.13388,4999,50,3,7,0.5
0.280858610445869,98.16181,499,500,3,7,0.5
0.15332006056494,234.409368,2499,500,3,7,0.5
0.00899557746057092,100.367214,4999,500,3,7,0.5
0.220913248457412,43.211878,499,1000,3,7,0.5
0.0620634636722752,164.744123,2499,1000,3,7,0.5
0.00669804904472112,61.133886,4999,1000,3,7,0.5
1.82793781208656,158.78812,499,50,6,7,0.5
0.111726216568193,76.87,2499,50,6,7,0.5
0.104518921502371,267.64818,4999,50,6,7,0.5
0.0588685540587806,47.43187,499,500,6,7,0.5
0.0446789951135231,167.062522,2499,500,6,7,0.5
0.0194334981691458,111.302264,4999,500,6,7,0.5
0.168040779986318,103.384768,499,1000,6,7,0.5
0.0171321247082491,182.357916,2499,1000,6,7,0.5
0.0131332395641321,166.753046,4999,1000,6,7,0.5
0.392562902890434,109.37656,499,50,9,7,0.5
0.08807685235368,125.40392,2499,50,9,7,0.5
0.138035808625545,77.40088,4999,50,9,7,0.5
0.0541863533507903,45.410638,499,500,9,7,0.5
0.0262838776910602,81.228248,2499,500,9,7,0.5
0.0198289285422871,86.088386,4999,500,9,7,0.5
0.151169998361412,113.968021,499,1000,9,7,0.5
0.00729747248749983,115.318738,2499,1000,9,7,0.5
0.00451051529677611,87.730421,4999,1000,9,7,0.5
0.229254018134721,58.64282,499,50,3,10,0.5
0.0800590546376557,86.4371,2499,50,3,10,0.5
0.0455006071708306,145.54576,4999,50,3,10,0.5
0.184112272408362,52.473604,499,500,3,10,0.5
0.0179655420371504,80.762338,2499,500,3,10,0.5
0.00992359802256554,50.94162,4999,500,3,10,0.5
0.106593277833575,45.515589,499,1000,3,10,0.5
0.0576062202671918,154.655528,2499,1000,3,10,0.5
0.0112440530598039,102.239568,4999,1000,3,10,0.5
0.210773836072104,83.25402,499,50,6,10,0.5
0.1097954782762,88.90694,2499,50,6,10,0.5
0.135172969932039,89.97338,4999,50,6,10,0.5
0.0605490877534353,69.244426,499,500,6,10,0.5
0.0389584577784385,174.728712,2499,500,6,10,0.5
0.0133005485563636,87.921708,4999,500,6,10,0.5
0.0859745446621124,57.931884,499,1000,6,10,0.5
0.0222894877157697,128.04883,2499,1000,6,10,0.5
